Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,53.2,-23.6,0.0,top
C10,100nF,C_0402_1005Metric,41.9,-20.4,90.0,top
C11,1uF,C_0402_1005Metric,47.2,-21.82,90.0,top
C12,100nF,C_0402_1005Metric,40.5,-20.38,90.0,top
C13,100nF,C_0402_1005Metric,45.0,-37.1,-90.0,top
C14,1uF,C_0402_1005Metric,45.9,-21.8,90.0,top
C15,100nF,C_0402_1005Metric,39.3,-15.52,90.0,top
C16,15pF,C_0402_1005Metric,35.7,-38.0,-90.0,top
C17,15pF,C_0402_1005Metric,41.5,-39.9,0.0,top
C2,1uF,C_0402_1005Metric,49.6,-19.35,-90.0,top
C3,100nF,C_0402_1005Metric,38.1,-24.7,90.0,top
C4,100nF,C_0402_1005Metric,35.8,-24.7,90.0,top
C5,100nF,C_0402_1005Metric,43.4,-37.1,-90.0,top
C6,100nF,C_0402_1005Metric,52.7,-29.0,0.0,top
C7,100nF,C_0402_1005Metric,49.5,-24.2,90.0,top
C8,100nF,C_0402_1005Metric,49.02,-22.27,0.0,top
C9,100nF,C_0402_1005Metric,43.3,-20.4,90.0,top
J5,BREAKOUT,PinHeader_2x05_P2.54mm_Vertical,19.16,-17.13,-90.0,top
R1,4.7K,R_0402_1005Metric,33.5,-34.7,90.0,top
R2,4.7K,R_0402_1005Metric,31.2,-34.7,-90.0,top
R3,4.7K,R_0402_1005Metric,26.6,-16.29,-90.0,top
R4,4.7K,R_0402_1005Metric,41.5,-37.5,0.0,top
R5,27,R_0402_1005Metric,46.5,-15.0,0.0,top
R6,27,R_0402_1005Metric,46.5,-16.5,0.0,top
R7,4.7K,R_0402_1005Metric,46.6,-38.9,-90.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,43.8,-28.0,0.0,top
U2,AP2112K-3.3,SOT-23-5,53.7,-20.0,0.0,top
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,32.2,-19.0,270.0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,38.35,-38.7,-90.0,top
